Geography,Gender,Age,Balance,HasCrCard,IsActiveMember,EstimatedSalary,Exited
France,Male,50,115625.07,1,0,185855.21,0
France,Male,25,108396.67,1,0,128276.95,0
Germany,Male,38,65095.41,1,1,140197.42,0
Germany,Male,43,103018.45,1,0,32462.39,1
France,Female,38,84764.79,1,1,162253.9,0
France,Female,38,0,1,0,30498.7,0
Spain,Female,35,115680.81,1,1,90280.7,0
France,Female,39,0,1,0,32615.21,0
Germany,Male,36,73088.06,0,0,196142.26,0
Germany,Female,27,150905.03,1,0,16998.72,0
Spain,Female,23,143054.85,0,1,62980.96,0
Spain,Female,28,0,0,0,185660.3,0
France,Male,60,0,1,1,77331.77,0
Germany,Female,42,99948.45,0,1,97338.62,0
France,Male,44,115451.05,0,0,67234.33,0
Germany,Male,32,108235.91,1,1,143783.28,0
France,Male,38,0,0,1,77661.12,1
Spain,Male,42,98795.61,1,0,89123.99,0
France,Female,37,0,1,0,70810.8,0
France,Male,31,0,0,0,17550.49,0
France,Male,34,0,0,1,21497.27,0
Germany,Male,29,113146.98,0,1,124749.08,0
Germany,Female,39,162532.14,1,0,36051.46,1
Spain,Female,40,92053.44,1,1,143681.83,0
France,Male,48,0,1,1,150694.58,0
France,Female,28,0,1,0,170487.4,1
Germany,Female,29,104944.1,1,1,97684.46,0
France,Male,31,0,1,0,53520.03,0
France,Female,31,0,1,0,15200.61,0
France,Female,30,107879.04,0,1,196894.62,0
Germany,Male,46,110356.42,1,0,4969.13,1
France,Male,27,0,0,0,26229.24,0
Spain,Female,34,109783.69,1,0,134034.32,0
France,Male,22,149777,1,1,198032.93,0
France,Female,38,104339.56,0,0,119882.86,0
Spain,Female,21,85818.18,1,1,133102.3,0
France,Male,37,212692.97,0,0,176395.02,0
Germany,Male,37,89696.84,1,1,193179.88,0
France,Female,28,0,1,1,125062.02,0
Germany,Female,32,68067.24,1,0,143287.58,0
Spain,Male,67,148564.66,0,1,87236.4,0
France,Female,55,136354.16,1,1,93769.89,0
France,Male,38,122214,0,1,88965.46,0
France,Male,45,0,1,1,30793.61,0
Germany,Male,70,119684.88,1,1,74532.02,0
France,Female,39,135139.33,0,1,113086.08,0
Germany,Female,42,146100.75,1,0,32574.01,1
Spain,Female,56,123110.9,0,1,130113.78,1
Germany,Female,44,111760.4,1,1,104722.47,1
France,Female,32,110728.39,1,1,14559.62,0
France,Female,41,121558.46,1,1,598.8,0
Germany,Female,38,120623.21,1,0,129697.99,0
France,Female,58,114713.57,1,1,36315.03,0
Germany,Female,37,103457.76,0,0,1114.12,0
Germany,Male,57,101134.87,1,1,70954.41,0
Germany,Male,46,78136.36,1,1,73470.98,0
France,Male,23,0,1,0,91573.19,0
Spain,Male,30,133446.34,0,0,3154.95,0
France,Female,33,0,1,1,88187.81,0
Germany,Female,48,108076.33,1,0,118855.26,1
France,Male,32,131354.25,1,0,125256.53,0
Germany,Female,37,62974.64,0,1,39016.43,0
Germany,Female,30,143340.44,1,0,145796.49,0
Germany,Male,36,116993.43,1,0,168816.22,0
France,Male,31,58662.92,0,1,73322,0
Spain,Male,41,128808.65,0,0,113677.53,1
France,Male,45,137555.44,0,0,124607.7,0
Germany,Male,34,142393.11,1,1,11276.48,0
France,Female,38,0,1,0,136620.64,0
France,Female,41,125785.23,1,1,70523.92,0
France,Male,22,136444.25,1,0,51980.25,1
Spain,Male,38,121527.4,1,0,113481.02,0
Germany,Male,52,144696.75,1,1,49025.79,0
France,Male,36,0,1,1,145937.99,0
France,Female,35,0,1,1,25161.61,0
Germany,Male,48,128140.17,1,0,175753.55,1
France,Male,25,120383.41,1,1,24903.09,0
France,Female,57,0,1,1,169719.35,1
France,Male,42,129735.3,1,1,179565.57,0
Spain,Female,31,185078.26,0,0,115337.74,1
France,Female,28,0,0,0,48131.92,0
France,Male,42,0,1,1,160828.98,0
Spain,Male,31,0,0,1,145151.96,0
France,Male,29,144591.96,1,1,196293.76,0
France,Female,45,0,1,0,161653.5,1
France,Male,36,0,0,0,84635.64,0
France,Male,37,0,1,0,159486.76,0
Germany,Male,68,100194.44,1,1,38596.34,0
Germany,Male,50,145295.31,1,1,27814.74,0
Germany,Male,28,106070.29,1,1,183893.31,0
Germany,Female,47,120621.89,1,1,140803.7,0
France,Male,38,0,0,1,146585.53,0
France,Male,36,0,1,1,40062.29,0
France,Male,30,0,1,1,181300.32,0
Germany,Female,27,171283.91,1,1,84136.12,0
France,Male,26,0,1,1,197594.34,0
Germany,Female,38,128218.47,1,0,125953.83,1
France,Female,32,0,1,1,75465.41,0
Germany,Male,28,77776.39,1,0,177737.07,0
Germany,Female,72,124978.19,1,1,7144.46,0
France,Male,29,0,0,0,155639.76,0
France,Female,28,0,1,1,162428.05,0
Spain,Male,51,109799.55,1,1,12457.76,1
France,Male,39,0,0,0,14917.09,0
Germany,Female,61,125397.21,1,0,182184.09,1
Spain,Female,71,0,1,1,129984.2,0
Germany,Male,38,111347.37,0,1,194872.97,0
Spain,Male,40,104291.41,1,1,117507.11,0
Germany,Female,61,94867.18,1,1,157527.6,1
France,Male,24,0,0,0,92612.88,0
France,Female,33,135703.59,0,0,74850.84,0
Germany,Female,37,106453.53,0,1,127413,0
France,Male,43,132412.38,0,0,69584.3,1
Germany,Female,40,124401.6,1,0,198814.24,1
France,Male,46,118022.06,1,0,162643.15,1
Germany,Male,39,82531.11,1,0,114092.52,0
Spain,Male,44,184552.12,1,0,68860.3,1
Germany,Male,39,127278.31,1,1,16150.34,0
Spain,Female,66,0,1,1,115227.02,0
France,Female,45,0,0,1,170621.55,0
Germany,Male,23,184244.86,1,0,103099.22,0
France,Male,52,59669.43,0,0,172495.81,1
France,Female,25,79543.59,0,1,38772.82,0
France,Female,39,151553.19,1,1,44946.29,0
Germany,Male,27,166527.88,0,1,146007.7,0
Germany,Male,28,150329.15,1,0,145558.42,0
France,Male,43,121911.59,1,0,193312.33,0
France,Male,51,156773.78,1,0,40257.79,0
Spain,Male,29,127864.26,1,1,46677.9,0
France,Male,53,113709.28,1,1,153887.93,1
Germany,Female,43,79974.55,1,1,103108.33,0
France,Female,44,0,1,1,58652.23,0
France,Female,51,0,1,0,91624.11,1
Spain,Male,38,0,1,0,65986.48,1
France,Male,33,144427.96,1,0,113845.19,0
France,Male,42,99263.09,1,1,67607.9,0
France,Female,32,79368.87,1,1,145471.94,0
France,Female,30,0,1,1,124071.71,0
Spain,Female,34,0,1,1,67502.12,0
France,Male,28,0,1,1,78707.97,0
France,Female,52,125095.94,1,0,171189.83,1
Germany,Female,40,162485.8,1,0,149381.32,0
Germany,Male,37,95668.82,1,0,100335.55,0
France,Male,25,0,1,0,152698.24,0
Spain,Female,30,0,1,1,41192.95,0
France,Male,37,0,1,0,132540.33,0
France,Female,34,74197.38,1,0,96875.52,0
France,Female,31,89688.94,1,1,152305.47,0
Spain,Female,33,103121.33,1,1,49672.01,0
Spain,Female,34,0,1,0,133997.53,0
Germany,Female,59,120170.07,0,1,50454.8,0
France,Male,32,149136.31,1,1,16402.11,0
France,Male,40,141136.79,1,1,67803.83,0
France,Female,43,152341.55,1,0,9241.78,0
France,Male,36,120026.98,0,1,100601.73,0
Spain,Male,33,132168.28,0,0,98734.15,0
Germany,Male,43,85200.82,1,1,160574.09,0
Spain,Male,53,84903.33,0,1,26015.8,0
France,Female,32,0,0,0,187172.54,0
France,Male,20,0,1,1,55763.66,0
Spain,Male,40,0,1,0,75848.22,0
France,Male,30,121535.18,0,0,40313.47,0
Spain,Male,35,116662.96,1,1,23864.21,0
France,Male,60,0,1,1,51380.9,0
Germany,Female,49,124829.16,0,1,93551.36,0
Spain,Female,36,155180.56,0,0,169415.54,0
Germany,Female,32,108262.87,1,1,6935.31,0
Spain,Male,40,0,1,0,25399.7,0
France,Male,38,0,1,0,66256.27,0
Spain,Male,48,0,1,1,114709.13,1
Germany,Male,38,99812.88,1,1,158357.97,0
France,Male,35,132164.26,0,1,164815.59,0
Germany,Male,45,103583.05,1,0,132127.69,1
Germany,Male,39,142406.43,1,0,146637.45,0
Spain,Male,38,99842.5,1,0,90256.06,1
France,Female,41,0,1,1,34827.43,0
France,Male,41,0,0,0,22074.48,0
France,Female,39,81042.42,0,1,109805.17,0
France,Female,48,0,1,0,100478.6,1
France,Male,40,0,1,1,97416.34,0
France,Male,53,199689.49,1,1,24207.86,1
France,Male,33,142645.43,0,0,69132.66,0
Spain,Female,75,0,1,1,9376.89,0
Germany,Female,45,110219.14,1,0,43046.7,1
Spain,Male,51,0,0,1,20856.31,0
France,Male,25,0,0,0,187048.72,0
Spain,Male,32,0,1,0,53420.53,0
France,Male,45,142072.02,1,0,37013.29,0
France,Female,25,0,1,0,89566.64,0
Germany,Male,33,149564.61,0,0,149913.84,0
France,Female,43,0,1,0,18066.69,0
Germany,Male,37,153366.13,1,1,26912.34,0
France,Male,21,76467.16,1,1,173511.72,0
France,Female,26,121508.28,1,1,146785.44,0
Spain,Female,27,0,0,1,1050.33,0
Spain,Male,36,73211.12,1,0,89587.34,1
France,Male,22,0,1,0,74405.34,0
France,Female,55,0,0,1,54409.48,0
Spain,Male,38,92674.94,1,0,3647.57,0
Spain,Male,52,96196.24,1,0,198874.52,1
Germany,Female,36,114391.62,1,1,53412.54,0
Germany,Male,32,80262.66,1,0,194867.78,0
Spain,Female,33,173331.52,1,0,150452.88,0
Spain,Female,35,147285.52,1,1,57807.05,0
Spain,Male,67,119785.47,1,1,107534.32,0
Spain,Female,36,140137.15,1,0,194073.33,0
Germany,Female,52,107467.56,1,0,126233.18,1
Germany,Female,37,98218.04,1,0,182354.46,1
Germany,Female,35,133607.75,1,1,120586.32,0
France,Male,37,0,1,1,50578.4,0
France,Female,38,95139.41,1,1,86575.46,0
France,Female,29,0,0,1,153392.28,0
Spain,Male,42,0,1,0,115509.59,0
France,Female,37,0,1,0,82176.48,0
Germany,Female,26,97331.19,1,0,63717.49,0
Germany,Male,37,139265.63,1,1,198745.94,0
France,Female,31,0,0,1,5719.11,0
Spain,Male,34,168094.01,0,0,20058.61,0
Germany,Female,30,131563.88,1,0,170638.98,0
France,Male,44,0,1,0,30607.11,0
France,Male,50,0,0,0,37171.46,0
France,Male,31,0,1,1,42589.33,0
Germany,Male,47,107363.29,1,1,66799.28,0
France,Female,33,94493.03,0,1,101866.39,0
Germany,Female,29,170214.23,1,0,49284,0
France,Male,52,139781.06,1,0,27445.4,1
France,Female,35,0,1,0,70760.69,0
Spain,Female,26,148610.41,0,1,104502.02,1
France,Male,73,170241.7,1,1,165407.96,0
France,Female,33,128306.83,1,1,113580.79,0
France,Female,47,0,1,1,45978.39,0
France,Female,35,0,1,1,152012.36,0
Germany,Male,32,175454,0,1,77349.92,0
Spain,Male,41,0,1,0,47322.05,0
France,Female,22,100885.93,1,1,38772.65,0
France,Male,69,93320.8,1,1,24489.44,0
Germany,Male,38,63176.44,1,1,14466.08,0
France,Male,33,139451.67,0,0,63142.12,0
France,Female,52,49113.75,1,0,41858.43,0
Germany,Male,32,123906.22,1,1,127443.82,1
France,Female,40,0,1,1,84151.98,0
France,Male,28,0,0,0,58595.64,0
Germany,Female,52,131441.51,1,0,37240.11,1
France,Male,56,0,1,0,114522.68,1
France,Male,57,136325.48,1,1,72549.27,1
Germany,Female,38,113150.44,1,0,176712.59,1
Spain,Female,42,0,0,0,152855.96,0
France,Female,33,0,1,1,73371.65,0
Germany,Female,46,102785.16,1,1,70323.68,0
Spain,Male,34,83264.28,0,0,9663.28,0
Germany,Male,41,72252.64,1,1,142514.66,0
Germany,Female,29,148051.52,1,0,118623.94,0
France,Female,76,138489.66,1,1,68400.14,0
France,Male,63,0,1,1,115291.86,0
France,Male,32,111589.33,1,1,170382.99,0
Germany,Female,39,122104.79,1,0,112946.67,1
Germany,Male,32,96106.83,1,1,79812.77,0
Germany,Male,42,115930.87,1,0,19862.78,0
Germany,Female,37,124513.66,1,0,158610.89,0
France,Female,54,0,1,0,191212.63,1
Spain,Male,46,0,1,0,61931.21,0
France,Male,33,0,1,1,58043.02,1
Spain,Male,35,100988.39,1,0,22247.27,0
France,Male,44,118577.24,1,1,31448.52,0
Spain,Male,28,0,1,0,146875.86,0
France,Male,27,0,1,1,116081.93,0
France,Female,39,0,0,1,73669.94,1
Spain,Female,28,0,1,1,93959.96,0
Spain,Female,26,0,0,1,158918.03,0
France,Female,42,113311.11,1,1,198193.75,0
France,Female,41,0,0,0,13160.03,0
France,Male,32,0,1,0,4660.91,0
Germany,Male,20,124365.42,0,0,180197.74,1
France,Male,42,147249.29,1,1,63023.02,0
France,Male,36,103688.19,0,1,118971.74,0
France,Female,29,138740.24,0,0,154700.61,0
Spain,Male,39,111900.14,1,1,97577.17,0
Spain,Female,37,152760.24,1,1,48990.5,0
Germany,Male,31,143966.3,1,1,140262.96,1
France,Male,51,141556.96,1,0,130189.53,0
France,Female,43,0,1,1,16301.91,0
France,Female,33,0,1,0,126962.41,0
France,Female,46,0,1,1,158750.53,0
France,Male,30,0,1,0,199644.2,0
France,Female,41,0,1,1,144272.71,1
France,Male,29,0,0,1,98320.27,0
France,Male,25,162560.32,1,0,64129.03,0
Germany,Female,29,123229.46,1,0,181221.09,0
Spain,Male,31,76665.71,1,1,163809.08,0
France,Male,38,140278.99,1,1,171457.06,1
France,Female,51,0,0,1,15801.02,0
France,Male,46,115764.32,0,0,102950.79,0
Germany,Male,36,131142.53,1,0,174918.46,0
France,Male,45,68375.27,1,0,193160.25,1
Germany,Female,39,117833.3,0,0,5831,1
Spain,Female,36,0,1,1,82298.59,0
France,Male,34,0,0,0,130686.59,0
France,Male,45,0,0,1,52885.23,1
Spain,Male,30,111093.01,1,0,68985.99,0
Spain,Male,42,132657.55,1,0,35367.19,0
France,Female,56,128882.49,1,1,196241.94,1
Germany,Male,59,69129.59,1,1,170705.53,0
France,Male,37,0,1,1,126477.41,0
France,Male,39,121404.64,1,1,159618.17,0
Spain,Female,45,131355.3,1,0,195395.33,1
France,Female,35,102097.33,0,1,168285.85,0
France,Male,40,154863.15,1,1,138052.51,0
Spain,Female,41,99945.93,1,0,71179.31,0
Germany,Male,39,121704.32,1,0,55556.3,0
Spain,Female,43,0,1,0,31705.19,0
Germany,Male,35,138782.76,1,1,186118.93,0
France,Male,35,0,1,1,195580.28,0
France,Male,30,136291.71,1,0,54113.38,0
Germany,Male,42,107856.57,1,0,127528.84,0
Germany,Female,26,108348.66,0,0,60231.74,1
France,Male,47,93871.95,1,0,156878.42,1
Spain,Female,45,0,1,0,182784.11,1
Germany,Male,19,125860.2,0,0,129690.5,0
France,Male,49,172713.44,1,0,113860.81,0
France,Female,51,0,0,1,184524.74,0
Spain,Female,59,0,1,1,36124.98,0
France,Female,39,130786.92,0,1,121316.07,0
France,Female,29,112367.34,1,0,185630.76,0
Spain,Female,45,91091.06,1,0,71133.12,0
France,Female,26,106198.5,0,1,32020.42,0
France,Male,47,142669.93,1,0,162760.96,0
France,Male,33,112833.35,0,1,175178.56,0
France,Female,40,0,0,1,177099.71,0
Spain,Female,43,0,1,1,66406.37,0
Germany,Female,32,104336.43,0,0,59559.81,0
France,Male,55,104305.74,0,1,175750.21,0
Germany,Male,47,140187.1,1,1,174311.3,0
France,Male,39,0,1,0,171716.81,0
France,Female,45,114959.12,1,0,189362.39,1
France,Male,33,164704.38,0,1,180716.1,1
France,Male,62,119096.55,0,1,116977.89,0
France,Male,31,0,1,1,185105.44,0
France,Male,47,0,1,0,35046.97,1
Spain,Male,30,0,1,0,36251,0
France,Female,41,115465.28,1,0,103174.5,0
France,Female,27,0,1,0,122642.09,0
Spain,Male,43,184926.61,1,0,122937.57,0
Germany,Male,43,85957.88,1,0,8757.39,0
France,Male,32,114084.6,0,1,125782.29,0
Spain,Female,29,166930.76,1,0,122487.73,0
France,Female,27,0,1,0,20066.38,0
France,Male,29,0,1,1,55473.15,0
France,Female,38,107193.82,0,0,38962.94,0
France,Male,36,116275.12,1,1,63795.8,0
Spain,Female,27,0,1,1,163060.43,0
France,Male,39,91068.56,1,0,26578.69,0
Germany,Male,41,123049.21,0,1,5066.76,0
France,Female,39,0,1,1,140497.67,0
France,Male,40,0,0,0,146156.98,0
France,Female,42,137781.65,0,0,199316.19,0
Germany,Female,48,108128.96,1,1,103944.37,0
Spain,Male,39,105317.73,1,0,138021.36,0
France,Male,20,80569.73,0,0,68621.98,0
France,Female,22,174852.89,1,1,28149.06,0
Spain,Female,45,89158.94,1,0,135169.76,1
France,Female,85,0,1,1,116537.96,0
France,Male,36,89800.14,1,1,105922.69,0
Germany,Male,45,101207.75,0,0,88211.12,1
France,Male,43,106086.42,1,0,26900.63,0
France,Male,21,0,1,1,3494.02,0
France,Male,47,0,1,0,113163.17,0
Spain,Female,26,101440.36,1,1,19324.5,0
France,Male,38,0,1,0,189678.7,0
France,Male,34,106603.74,1,1,26387.71,0
Germany,Female,29,130420.2,0,0,106276.55,0
France,Female,38,0,1,0,45015.38,0
Spain,Male,29,45022.23,1,1,173495.77,0
Germany,Male,27,74298.43,1,1,52581.96,0
Germany,Female,31,133003.03,0,1,146339.27,1
Spain,Male,48,0,1,1,182609.97,0
Spain,Female,37,136689.66,1,0,197890.65,0
France,Male,32,0,1,1,6225.63,0
France,Female,44,0,1,1,123977.86,1
France,Male,53,102520.37,1,1,170195.4,0
France,Male,35,0,1,1,114190.3,0
France,Female,34,0,1,0,27022.57,0
Spain,Male,67,88382.01,0,1,59457,0
France,Male,44,115049.15,1,0,165038.41,0
France,Male,58,104796.54,1,1,154181.41,0
France,Male,33,123082.08,1,0,134960.98,0
Spain,Female,58,0,1,1,65708.5,0
France,Female,33,0,0,0,117374.22,0
France,Female,43,0,1,1,77703.19,0
Germany,Male,33,88311.48,1,1,177651.38,0
France,Female,40,0,1,1,60954.45,0
France,Male,32,71872.19,1,1,151924.9,0
Spain,Male,35,110046.93,1,0,26318.73,0
France,Male,42,104430.08,1,1,147557.71,0
France,Female,28,0,1,0,125918.17,0
Germany,Male,31,138653.51,1,0,190803.37,0
France,Female,31,102575.04,1,1,11043.54,0
France,Male,43,137780.74,1,1,119100.05,1
Spain,Male,32,0,1,0,140579.17,0
France,Male,32,0,0,1,37731.95,0
France,Female,30,105209.54,1,0,1852.58,0
Germany,Female,32,109570.21,1,1,172049.84,0
Germany,Female,44,118715.86,1,0,133591.11,1
France,Male,35,0,1,1,192751.18,0
Germany,Female,43,153393.18,1,1,193828.27,0
Germany,Male,33,132603.36,1,0,55775.72,0
Spain,Female,36,0,1,1,102280.29,0
Germany,Female,34,129398.01,0,0,44965.44,0
Spain,Male,28,0,1,0,170661.02,0
France,Male,29,151352.74,0,0,197145.89,0
France,Female,44,136836.49,1,0,192359.9,1
France,Male,40,91592.06,1,0,141210.18,1
France,Female,30,0,1,0,100557.03,0
France,Female,54,0,1,0,130805.54,1
France,Female,22,0,1,1,92606.98,0
France,Male,36,165536.28,1,1,123956.83,0
Germany,Male,25,62482.95,1,1,102758.43,0
France,Male,40,68155.59,1,0,94876.65,0
Spain,Female,43,55853.33,0,1,94811.85,1
France,Male,37,0,0,1,67840.81,0
France,Female,31,79589.43,0,0,4050.57,0
Spain,Male,41,100880.76,0,1,134665.25,0
Germany,Female,25,174330.35,0,0,181647.13,0
France,Male,19,143390.51,1,0,33282.84,0
Germany,Male,59,91415.76,0,0,27965,1
Germany,Male,30,134366.42,1,0,68343.53,0
France,Female,24,0,1,1,198161.07,0
Spain,Male,60,88786.81,1,1,196858.4,0
Germany,Male,35,96814.46,1,1,120511.03,0
Germany,Male,32,160680.41,1,0,30886.35,0
France,Female,29,0,1,0,2743.69,0
France,Female,47,0,1,0,167778.62,0
Germany,Male,31,145537.21,1,0,132404.64,0
France,Female,28,0,1,1,144423.17,1
France,Female,45,0,1,1,181204.5,0
Spain,Female,30,119370.11,1,1,182726.22,1
Spain,Female,28,0,1,1,120880.72,0
Germany,Female,47,134381.52,0,0,26812.89,1
Germany,Female,74,114888.74,1,1,66732.63,1
Germany,Male,42,149332.48,1,0,100834.22,0
France,Female,40,105061.74,1,0,107815.31,1
France,Male,32,0,1,1,34665.79,0
France,Female,40,0,1,1,147093.84,1
France,Male,21,0,1,1,36942.35,0
France,Female,39,155062.8,1,1,16460.77,0
Spain,Male,43,88798.34,0,0,45610.63,0
France,Male,33,0,1,0,184954.11,0
Germany,Female,51,143139.87,0,0,47795.43,1
Spain,Female,23,0,1,0,196789.9,0
Germany,Male,27,107027.52,1,0,173425.68,0
France,Male,29,140720.93,1,0,36221.18,0
France,Male,30,80964.57,1,0,174738.2,0
France,Male,39,178585.46,1,0,67131.3,1
Spain,Female,26,135889.13,1,1,165692.03,0
France,Male,43,134919.85,1,0,194691.95,0
Germany,Male,33,115130.34,0,0,129525.5,1
Spain,Female,34,138190.13,0,1,146511.2,0
Germany,Male,37,131519.49,1,1,51752.18,0
Spain,Female,56,0,1,0,35418.69,1
Germany,Female,39,126935.98,0,1,57995.74,0
France,Male,39,133707.09,1,1,108152.75,0
France,Female,27,97893.2,1,0,166144.98,0
France,Male,34,127900.03,1,0,101737.8,0
France,Male,37,143835.47,0,1,33326.71,0
France,Male,44,0,1,1,81140.09,0
France,Male,48,0,1,0,140173.17,1
France,Male,60,0,1,1,166513.49,1
France,Female,40,129596.77,1,1,103232.6,0
Spain,Male,30,0,1,0,120736.04,0
Germany,Female,24,110407.44,0,0,15832.43,1
France,Female,76,0,0,1,188772.45,0
Germany,Female,41,142015.76,1,0,114323.66,0
Spain,Male,55,81370.07,0,1,181534.04,0
Germany,Female,48,69329.47,0,0,102640.52,1
France,Female,28,116755.5,1,1,158585.17,1
Spain,Male,44,83870.33,1,0,178722.24,0
France,Female,39,130694.89,1,1,153955.38,1
Spain,Female,34,117451.47,1,0,65374.86,0
Germany,Female,35,206868.78,0,1,102986.15,0
France,Female,39,111695.62,0,0,136643.84,0
France,Female,40,137285.26,1,0,77063.63,1
France,Female,29,149218.39,1,1,9633.01,0
France,Male,51,0,0,1,43496.36,0
Spain,Male,32,0,1,1,24267.28,0
Germany,Female,41,130701.29,1,0,59354.24,1
Spain,Male,34,0,0,0,28269.86,0
France,Female,31,167949.48,1,0,143162.34,0
France,Male,23,131254.81,1,0,20199.3,0
France,Male,28,0,1,1,48606.92,0
Spain,Male,34,0,0,1,89013.67,0
Spain,Male,34,86656.13,0,1,59890.29,0
Germany,Female,37,114737.26,1,1,106655.88,1
France,Female,38,0,1,0,156439.56,0
France,Female,39,0,1,0,24176.44,0
Germany,Male,62,119817.33,0,1,43507.1,1
France,Female,48,130806.99,1,1,132005.85,1
France,Female,49,0,1,1,80496.71,1
Spain,Male,40,0,1,0,88947.56,0
Germany,Female,35,80931.75,0,0,12639.67,1
France,Female,56,0,1,1,94248.16,1
Germany,Male,32,132178.67,0,0,11865.76,0
France,Female,27,0,1,0,141449.86,0
Spain,Male,43,0,1,1,149457.81,0
France,Female,35,164769.02,1,0,119814.25,1
Germany,Male,29,107233.85,1,0,24924.92,0
France,Female,27,176227.07,0,1,139481.53,0
France,Female,39,109949.39,1,1,41268.65,0
France,Female,34,0,1,1,1351.41,0
France,Female,60,117738.81,1,0,147489.76,1
Spain,Female,37,133292.45,1,0,111175.09,0
France,Female,43,160474.59,1,1,95963.14,0
France,Male,43,0,1,0,43128.95,0
Germany,Male,55,154393.43,1,1,137674.96,1
Germany,Female,45,110827.49,1,1,153383.54,1
Germany,Female,36,145750.45,1,1,96660.76,0
Spain,Female,45,109044.3,0,1,115818.16,0
France,Female,32,75170.54,1,1,37898.5,0
France,Female,42,0,1,0,145222.93,0
France,Female,28,105795.9,1,1,41219.09,0
France,Male,32,0,1,0,59249.83,0
Spain,Male,66,0,1,1,116747.62,0
France,Female,49,0,1,0,116249.72,1
France,Female,26,118097.87,1,0,61257.83,0
Germany,Male,29,172693.54,0,0,141798.98,0
France,Male,36,129440.3,1,0,102638.35,0
Spain,Male,36,0,0,0,13210.56,0
France,Male,23,96471.2,1,0,35550.97,0
France,Female,46,0,1,1,104469.06,1
Spain,Male,24,140197.18,1,1,142935.83,0
France,Male,20,0,1,0,195486.28,0
France,Female,33,135946.26,1,0,63170,0
France,Male,69,0,1,1,58320.06,0
Germany,Male,50,81290.02,0,1,177747.03,1
France,Female,42,0,1,0,19632.64,1
Germany,Male,60,113715.36,1,0,18424.24,1
Spain,Male,56,168883.08,0,1,18897.78,0
Germany,Male,36,143421.74,1,0,97879.02,0
France,Male,26,153644.39,1,1,63197.88,0
Spain,Female,53,109330.06,1,1,75860.01,0
Germany,Female,27,115095.88,0,0,78622.46,0
France,Male,35,0,1,1,23598.23,1
Spain,Male,46,183276.32,1,1,13460.27,0
France,Male,33,68193.72,1,0,19998.31,0
France,Female,32,0,0,0,185075.63,0
Germany,Male,31,139729.54,0,1,135815.38,0
Spain,Female,56,98365.33,1,1,44251.33,0
France,Male,36,0,1,0,136349.55,0
Germany,Female,37,122453.97,1,1,52693.99,0
Germany,Male,30,132174.41,0,0,93767.03,0
Spain,Female,24,0,0,1,197866.55,0
France,Male,30,0,1,0,126812.85,0
Spain,Male,39,104349.45,0,0,79503.05,0
Germany,Female,41,138881.04,1,0,129936.53,1
Germany,Female,32,116968.91,0,0,175094.62,0
Germany,Male,35,105346.03,1,1,130379.5,0
France,Male,26,136623.19,1,0,153228,0
France,Female,29,0,1,1,111285.85,0
France,Female,66,0,1,0,49553.38,1
France,Female,33,0,1,1,98015.85,0
France,Male,36,124445.52,1,0,88481.32,0
France,Female,34,68999.66,1,1,66879.27,0
Spain,Male,36,85768.42,1,1,24802.77,0
France,Male,47,0,1,0,21312.16,1
Spain,Male,34,100628,1,1,190263.78,0
Spain,Female,32,0,1,1,72873.33,0
Spain,Male,38,0,0,1,57764.65,0
France,Male,54,0,1,0,110273.84,1
Spain,Female,19,0,1,0,55500.17,0
France,Male,50,125647.36,1,0,57541.08,1
Germany,Female,31,100375.39,1,1,90384.26,0
France,Female,36,0,0,0,120694.35,0
France,Male,24,171922.72,0,1,178028.96,0
Germany,Female,32,146810.99,1,1,180990.29,0
Germany,Female,45,109032.23,0,1,155407.21,1
France,Male,57,0,1,0,33676.48,1
Spain,Male,25,0,1,0,89666.28,0
France,Male,35,128653.59,1,0,127558.26,0
France,Male,37,80387.81,0,1,77272.62,0
France,Male,58,0,0,1,107665.68,1
Germany,Male,43,108508.82,1,0,184044.8,1
France,Male,31,155978.17,1,0,91510.71,0
France,Female,38,0,1,1,87363.56,0
Germany,Male,50,121175.56,1,0,117505.07,1
France,Female,29,89349.47,0,0,180626.68,0
Spain,Male,38,86131.71,0,0,93478.96,0
France,Female,58,102346.86,1,1,114672.64,0
Germany,Female,36,121263.62,1,1,13387.88,0
France,Male,31,0,1,0,173240.52,0
Spain,Female,33,0,0,0,27557.18,1
France,Male,51,0,1,1,5552.37,0
Germany,Male,48,149726.08,0,0,88307.87,1
France,Male,43,0,1,0,33879.26,1
France,Male,35,161274.05,1,0,181429.87,0
France,Female,33,0,1,0,102655.31,0
Spain,Male,30,103138.17,1,1,96555.42,0
Germany,Female,40,109628.44,1,0,189366.03,0
France,Male,54,0,1,0,12847.61,1
Germany,Male,33,97286.16,1,0,143433.33,0
France,Female,33,118004.26,1,0,183983.82,0
Spain,Male,32,85534.83,0,0,169137.24,0
France,Female,59,0,1,1,163365.85,1
Spain,Female,43,95140.44,1,0,123181.44,1
France,Female,31,0,1,1,16447.6,1
France,Male,25,0,0,1,173948.4,0
Germany,Female,54,75900.84,1,1,192154.66,0
France,Female,41,126619.27,1,0,198224.38,0
France,Male,44,111833.47,1,0,67202.74,0
Spain,Male,37,0,1,0,68789.93,0
France,Female,57,238387.56,0,1,147964.99,1
France,Female,32,108698.96,1,1,161069.73,0
France,Female,39,112687.69,1,1,127749.61,0
Germany,Female,48,81556.89,1,0,191914.37,0
